Date;SPX;LIBOR
23.01.1986;213.7862;0.08125
24.01.1986;216.068;0.08125
27.01.1986;217.0728;0.08125
28.01.1986;219.6058;0.080625
29.01.1986;220.1082;0.080625
30.01.1986;219.1034;0.08125
31.01.1986;222.3795;0.080625
03.02.1986;224.6686;0.080625
04.02.1986;223.44;0.07875
05.02.1986;223.6186;0.08
06.02.1986;224.1541;0.080625
07.02.1986;225.2986;0.080625
10.02.1986;227.0627;0.080625
11.02.1986;226.7267;0.080625
12.02.1986;226.7792;0.080625
13.02.1986;228.2808;0.080625
14.02.1986;230.7589;0.08
17.02.1986;230.7589;0.08
18.02.1986;233.5835;0.08
19.02.1986;230.7589;0.08
20.02.1986;233.342;0.08
21.02.1986;235.8621;0.08
24.02.1986;235.5681;0.0793125
25.02.1986;234.9906;0.079375
26.02.1986;235.2531;0.08
27.02.1986;238.1197;0.07875
28.02.1986;239.0018;0.07875
03.03.1986;237.4219;0.078125
04.03.1986;236.3265;0.078125
05.03.1986;236.2844;0.0775
06.03.1986;237.1165;0.07625
07.03.1986;237.5799;0.075625
10.03.1986;238.6437;0.07375
11.03.1986;244.0257;0.074375
12.03.1986;244.921;0.074375
13.03.1986;245.6056;0.075
14.03.1986;249.1445;0.075
17.03.1986;247.1644;0.075
18.03.1986;248.3335;0.075
19.03.1986;248.1439;0.075625
20.03.1986;249.134;0.075625
21.03.1986;245.7636;0.075
24.03.1986;247.8595;0.075
25.03.1986;247.2171;0.075625
26.03.1986;249.9344;0.075625
27.03.1986;251.6934;0.073125
28.03.1986;251.6934;0.073125
31.03.1986;252.3358;0.07375
01.04.1986;248.3644;0.073125
02.04.1986;248.9664;0.073125
03.04.1986;245.5442;0.07375
04.04.1986;241.5516;0.0725
07.04.1986;241.4882;0.071875
08.04.1986;246.6533;0.07
09.04.1986;246.8962;0.06875
10.04.1986;249.7375;0.06875
11.04.1986;249.241;0.06875
14.04.1986;250.6247;0.068125
15.04.1986;251.1;0.06625
16.04.1986;255.8425;0.066875
17.04.1986;256.6981;0.06625
18.04.1986;256.0115;0.06625
21.04.1986;258.5043;0.066875
22.04.1986;256.0538;0.068125
23.04.1986;255.3461;0.068667
24.04.1986;255.6313;0.07
25.04.1986;255.9165;0.069375
28.04.1986;256.7509;0.069375
29.04.1986;254.0364;0.06875
30.04.1986;249.4945;0.06875
01.05.1986;249.1132;0.06875
02.05.1986;248.7212;0.069375
05.05.1986;251.8357;0.06875
06.05.1986;251.3166;0.06875
07.05.1986;250.0878;0.06875
08.05.1986;251.2001;0.068125
09.05.1986;251.9628;0.06875
12.05.1986;251.6768;0.069375
13.05.1986;250.4373;0.069375
